"LUGAR","lon","lat"
"ROCAFORT 145                            ",-3.6856577,40.343256
"AV OPORTO 85                            ",-3.7310136,40.3874487
"VERSALLES-AV C VICALVARO                ",-3.6658935,40.4208712
"PO FERROVIARIOS 5                       ",-3.7051796,40.3868651
"ORIO-ARECHAVALETA                       ",-3.6957117,40.3515976
"BARON DEL CASTILLO DE CHIREL            ",-3.7034924,40.4589404
"AV ANDALUCIA M 40 GLORIETA              ",-3.6931236,40.3530968
"PRINCIPE 2                              ",-3.7004637,40.4163738
"CAZORLA 87                              ",-3.6648705,40.3756
"ANCORA 7                                ",-3.6926342,40.403234
"ARACNE CC PLENILUNIO                    ",-3.587343,40.446969
"LUCANO-ILIADA                           ",-3.6092677,40.4354041
"PZ LIMA-PO CASTELLANA LATERAL           ",-3.691716,40.4498215
"AVIADOR ZORITA-BASILICA                 ",-3.6984531,40.4498345
"AV REINA VICTORIA 4                     ",-3.704846,40.4472098
"ALCALA-MIGUEL YUSTE                     ",-3.6256319,40.4412541
"COMANDANTE FONTANES 41                  ",-3.7243924,40.3952036
"RDA TOLEDO FAROLA 14                    ",-3.7090733,40.4062174
"ENCOMIENDA DE PALACIOS 380              ",-3.6332644,40.3961101
"PLOMO 14                                ",-3.6897648,40.3926515
"VILLALONSO 3                            ",-3.7064952,40.3494155
"PO MORET 3                              ",-3.722685,40.4333623
"BAZA-AV LOGROÑO                         ",-3.5822109,40.4742826
"EMILIA 39                               ",-3.6969757,40.4711448
"PROVISIONAL ATALAYUELA UNO              ",-3.6435211,40.3653951
"PZ JOSE DE VILLARREAL 1                 ",-3.6971803,40.3944646
"SUECIA 26                               ",-3.6066238,40.4227178
"VIA CARPETANA 308                       ",-3.7418031,40.3925103
"MARROQUINA 42                           ",-3.6476184,40.4079425
"JOSE DEL HIERRO-V PORTILLO              ",-3.6465652,40.4380366
"PZ SAN MARTIN 5",-3.7066805,40.4187716
"CANDILEJAS-PUERTO DE BALBARAN           ",-3.6660602,40.3802873
"ANDRES MELLADO 78                       ",-3.714097,40.4375422
"AV MONTE IGUELDO 25                     ",-3.6681401,40.3964663
"JULIAN CAMARILLO 59                     ",-3.6187542,40.4381872
"ENCOMIENDA DE PALACIOS FAR 55           ",-3.640298,40.3989214
"ASCAO-EMILIO FERRARI                    ",-3.640399,40.4302355
"M 30 KM 11 MENDEZ ALVARO                ",-3.6858227,40.4009465
"AV GRAN VIA DE SAN FRANCISCO            ",-3.7130856,40.4086365
"PINOS ALTA 68                           ",-3.6986786,40.4687592
"VILLAVALIENTE 27                        ",-3.7498468,40.4073394
"DOMINGO PARRAGA 2                       ",-3.70744,40.34235
"SAN MAMES-BERZOSA DE LOZOYA             ",-3.5236688,40.9755539
"SANCHEZ PACHECO 90                      ",-3.66812,40.44903
"VITAL AZA-LUIS RUIZ                     ",-3.6398684,40.4329029
"FLAUTAS-CTRA FORTUNA                    ",-3.7674809,40.3702549
"AV POBLADOS FAROLA 84                   ",-3.726988,40.373517
"AV HELLIN-POBLADURA DEL VALLE           ",-3.6150773,40.4279913
"CIFUENTES-SANTIAGO AMON                 ",-3.6934017,40.3483418
"AV MONTE IGUELDO-PEÑA GORBEA            ",-3.6684309,40.3961809
"AV ALBUFERA 35                          ",-3.6660266,40.3968605
"OCA-GENERAL RICARDOS                    ",-3.7317501,40.3885227
"SANTA PETRONILA 1                       ",-3.6918811,40.3514188
